date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
4/22/2015,Wednesday,4,0,4,2,23,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/23/2015,Thursday,5,0,4,2,34,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4/24/2015,Friday,6,1,4,2,58,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4/25/2015,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4/26/2015,Sunday,1,0,4,2,46,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4/27/2015,Monday,2,0,4,2,35,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4/28/2015,Tuesday,3,0,4,2,21,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4/29/2015,Wednesday,4,0,4,2,17,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4/30/2015,Thursday,5,0,4,2,26,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/1/2015,Friday,6,1,5,2,73,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/2/2015,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5/3/2015,Sunday,1,0,5,2,35,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5/4/2015,Monday,2,0,5,2,65,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5/5/2015,Tuesday,3,0,5,2,63,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5/6/2015,Wednesday,4,0,5,2,67,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/7/2015,Thursday,5,0,5,2,59,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/8/2015,Friday,6,1,5,2,88,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/9/2015,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5/10/2015,Sunday,1,0,5,2,51,39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5/11/2015,Monday,2,0,5,2,35,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5/12/2015,Tuesday,3,0,5,2,32,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5/13/2015,Wednesday,4,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/14/2015,Thursday,5,0,5,2,67,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/15/2015,Friday,6,1,5,2,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/16/2015,Saturday,7,1,5,2,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5/17/2015,Sunday,1,0,5,2,48,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5/18/2015,Monday,2,0,5,2,32,58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5/19/2015,Tuesday,3,0,5,2,46,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5/20/2015,Wednesday,4,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/21/2015,Thursday,5,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/22/2015,Friday,6,1,5,2,76,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/23/2015,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5/24/2015,Sunday,1,0,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5/25/2015,Monday,2,0,5,2,39,51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5/26/2015,Tuesday,3,0,5,2,46,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
